,,,,,,,,Mar-16,,,,,,,,,,,,,,,,,,,
ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Av_Price,Av_Weight,Av_Price Per Kilo,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20
31,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, La Parisienne, 10 loaves",Tebakor Shopping Center, ,0,N,,,,,,,,,,,,,,,,,,,,
32,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, loaf shack, 10 loaves",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
33,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Au Bon Marche manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
34,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Chew Store, ,0,Y,,,,,,,,,,,,,,,,,,,,
35,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
36,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Fresh Water III, ,0,Y,,,,,,,,,,,,,,,,,,,,
185,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
186,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
187,Orange,"Oranges, loose, per Kg","Oranges RG, 1Kg, Australia",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
188,Orange,"Oranges, loose, per Kg","Oranges, local, 5 medium size",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
189,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
190,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
191,Apple,"Apples, loose, per Kg","Red Apple, 1Kg, Australia",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
192,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
193,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
194,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
195,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
196,Grapes,"Grapes, bunch, per Kg","Grappes ""raisin Asrtd, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
197,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
198,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
199,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
200,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
201,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
202,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
203,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
204,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, local, 5medium size bunch, about 150-200vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
205,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
206,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
207,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
208,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, local, 5 medium size, yellow, 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
209,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
210,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
211,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
212,Rock melon,"Rock melon, loose, per Kg","Water melon, local, 5 medium size, red, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
213,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1pc, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
214,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
215,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
216,Green coconut,"Green coconut, piece, per Kg","Green coconut, local, 5 fruits, medium, 30vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
217,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, 120vt for 2 pc,local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
218,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
219,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Chew Store, ,0,N,,,,,,,,,,,,,,,,,,,,
220,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, local, 5big size, green marcots",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
221,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
222,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
223,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
224,Lime,"Limes, loose, per Kg","Lime, local, local, 5plastics, 100vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
225,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
226,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
227,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
228,"Mandarine, local","Mandarines, local, loose, per Kg","Mandarine, local, 5 medium size of 30vt each",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
229,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
230,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
231,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
232,Pineapples,"Pineapples, loose, per Kg","Pineapples, local, 5 medium size, 200-300vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
237,Yam,"Yam, basket, per Kg","Yam, Basket, local, 5baskets, 1000vt each",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
238,Island taro,"Island taro, basket, per Kg","Island taro, local, 5bundles, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
239,Manioc,"Manioc (kassava), basket, per Kg","Manioc (kassava), Basket, local,5 baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
240,Sweet Potato (Kumala),"Sweet potato (kumala), basket, per Kg","Sweet Potato, Basket, local, 5baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
241,Taro (Fiji),"Taro, basket, per Kg","Taro Fiji, Basket, 11Kg, local,5 baskets, 500-600vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
242,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
243,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
244,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
245,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
246,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
247,Potato,"Potatoes, white, loose, per Kg","White not washed potatoes, 1Kg, local",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
