ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,,,
31,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, La Parisienne, 10 loaves",Tebakor Shopping Center, ,0,N,1.9,2.1,2.1,2.1,2,2,1.892,,,2.3,,,1.91,1.89,1.87,1.87,,,,1.85,1.83,1.78,1.78,1.78,1.78,1.78,2.1,1.89,1.78,1.78,1.78,1.89,1.89,1.89,2.5,,,2.18,2.17,1.14,,2.16,,,,,,,,
32,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, loaf shack, 10 loaves",Traverso, ,0,Y,2,2,2.2,2.1,2,2.1,1.89,2.17,2.17,2.1,2.098,,1.86,1.8,1.88,1.88,,,,1.89,1.85,1.76,1.76,1.76,1.76,1.76,1.86,3.2,1.76,1.76,1.76,3.2,3.2,3.2,,,,2.14,,,,2.15,2.16,2.16,,,,,,
33,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Au Bon Marche manples, ,0,Y,1.8,2.2,2.2,2.3,2.2,2,1.852,2.21,2.21,2.2,2.134,1.97,1.83,1.89,1.78,1.78,,,,1.79,1.78,1.76,1.76,1.76,1.76,1.76,2.1,1.9,1.76,1.76,1.76,1.9,1.9,1.9,1.985,1.69,2.14,2.16,2.18,2.16,,2.15,2.16,2.18,,,,,,
34,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Chew Store, ,0,Y,2,2,1.9,1.999,1.998,1.999,2.115,2.115,2.115,2.1,1.896,1.96,1.89,1.86,1.78,1.78,,,,1.77,1.79,1.77,1.77,1.77,1.77,1.77,1.76,1.785,1.77,1.77,1.77,1.785,1.785,1.785,,,,,,,,2.16,,,,,,,,
35,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Market House, ,0,Y,2.3,2.3,2.3,2.2,1.999,2.4,2.1,2.2,2.2,1.8,2,2,2,1.9,2.5,2.5,2.5,2.5,2.5,2.5,2.65,2.58,2.58,2.58,2.58,2.58,2.1,3.6,2.58,2.58,2.58,3.6,3.6,3.6,,,,,,,,,,,,,,,,
36,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Fresh Water III, ,0,Y,2.5,2.5,2.3,2.3,2.1,1.7,,2.01,2.01,1,1.9,,1.78,2.3,2.46,2.46,2.25,,,2.43,2.48,2.44,2.44,2.44,2.44,2.44,2.1,2.58,2.44,2.44,2.44,2.58,2.58,2.58,,,,,,,,,,,,,,,,
185,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,,,
186,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,
187,Orange,"Oranges, loose, per Kg","Oranges RG, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,,,
188,Orange,"Oranges, loose, per Kg","Oranges, local, 5 medium size",Market House, ,0,Y,1.1,1.1,1.3,1.9,,1,1.5,,,2.4,1.2,,,,1.13,1.13,1.13,1.13,1.13,1.13,1.01,,,,,,1.5,1,,,,1,1,1,,,,1.08,1.57,,,1.69,1.57,1.57,,,,,,
