ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20
31,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, La Parisienne, 10 loaves",Tebakor Shopping Center, ,0,N,1.9,2.1,2,2.1,2,2,,,,2.1,,1.87,1.79,1.83,1.78,1.89,1.89,1.89,1.89,,1.89,,,,,,1.75,1.95,1.95,1.95,1.95,1.95,,1.91,1.85,,,2.15,2.16,2.17,,2.15,2.15,2.15,,,
32,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, loaf shack, 10 loaves",Traverso, ,0,Y,2,2,2.003,2.1,2,1.999,1.926,1.926,1.926,2.1,2.2,2.1,1.87,1.79,1.79,,,,,1.86,,1.8,1.8,1.8,,,1.89,1.97,1.97,1.97,1.97,1.97,1.8,1.95,2.1,,,,,,,2.15,,,,,
33,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Au Bon Marche manples, ,0,Y,1.8,2.2,2.3,1.98,2.2,2.1,1.995,2.05,2.38,1,2.038,1.97,1.84,1.96,1.83,1.84,1.84,1.84,1.84,1.86,1.84,1.77,1.77,1.77,1.67,1.67,1.86,1.89,1.89,1.89,1.89,1.89,1.77,1.91,2.1,2.15,,2.17,2.14,,2.16,2.16,2.16,2.16,,,
34,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Chew Store, ,0,Y,2,2,1.987,2.1,1.998,1.998,2.155,2.055,2.055,2.1,,1.99,1.86,1.96,1.89,1.79,1.79,1.79,1.79,1.84,1.79,1.8,1.8,1.8,,,1.76,1.75,1.75,1.75,1.75,1.75,1.8,1.785,1.85,,,,,,,2.16,,,,,
35,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Market House, ,0,Y,2.3,2.3,2.2,1.998,1.999,2,3.1,3.1,2.5,1.9,,3,,1.9,2.4,2.4,2.4,2.4,2.4,2.8,2.4,2.2,2.2,2.2,2.17,2.17,1.56,,,1.25,1.25,,2.2,1.9,1.2,,,,,,,,,,,,
36,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Fresh Water III, ,0,Y,2.5,2.5,2.4,2.4,2.1,1.998,1.56,2.035,1.9,1.7,1.7,6,,1.78,2.4,1.5,1.5,1.5,1.5,1.81,1.5,1.7,1.7,1.7,1.7,1.7,1.89,2.2,2.2,2.2,2.2,2.2,1.7,1.85,1.9,,,,,,,,,,,,
185,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,
186,Orange,"Oranges, loose, per Kg","Oranges, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,
187,Orange,"Oranges, loose, per Kg","Oranges RG, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,
188,Orange,"Oranges, loose, per Kg","Oranges, local, 5 medium size",Market House, ,0,Y,1.1,1.1,1.9,1.9,,1,2.2,3,,2.7,0.5,,,,1.16,1.16,1.16,1.16,1.16,,1.16,,,,,,1.5,,,1.2,1.2,,,1.29,,0.96,,1.23,1.43,,,1.28,1.32,1.32,,,
189,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
190,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,
191,Apple,"Apples, loose, per Kg","Red Apple, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
192,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,
193,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,
